,,,
Fabio,Abate,FDP-Liberale,
Jean-Luc,Addor,SVP,
Andreas,Aebi,SVP,
Matthias,Aebischer,SP,
Thomas,Aeschi,SVP,
Evi,Allemann,SP,
Céline,Amaudruz,SVP,
Viola,Amherd,CVP,
Thomas,Ammann,CVP,
Adrian,Amstutz,SVP,
Beat,Arnold,SVP,
Sibel,Arslan,BastA,
Jacqueline,Badran,SP,
Guillaume,Barazzone,CVP,
Angelo,Barrile,SP,
Philippe,Bauer,FDP-Liberale,
Isidor,Baumann,CVP,
Martin,Bäumle,glp,
Claude,Béglé,CVP,
Samuel,Bendahan,SP,
Didier,Berberat,SP,
Kathrin,Bertschy,glp,
Hans-Ulrich,Bigler,FDP-Liberale,
Prisca,Birrer-Heimo,SP,
Pirmin,Bischof,CVP,
Ivo,Bischofberger,CVP,
Frédéric,Borloz,FDP-Liberale,
Jacques,Bourgeois,FDP-Liberale,
Heinz,Brand,SVP,
Daniel,Brélaz,GPS,
Pascale,Bruderer Wyss,SP,
Hansjörg,Brunner,FDP-Liberale,
Toni,Brunner,SVP,
Roland,Rino Büchel,SVP,
Michaël,Buffat,SVP,
Manfred,Bühler,SVP,
Christine,Bulliard-Marbach,CVP,
Thomas,Burgherr,SVP,
Thierry,Burkart,FDP-Liberale,
Duri,Campell,BDP,
Martin,Candinas,CVP,
Marina,Carobbio Guscetti,SP,
Andrea,Caroni,FDP-Liberale,
Rocco,Cattaneo,FDP-Liberale,
Isabelle,Chevalley,glp,
Marco,Chiesa,SVP,
Raymond,Clottu,-,
Raphaël,Comte,FDP-Liberale,
Robert,Cramer,GPS,
Brigitte,Crottaz,SP,
Dominique,de Buman,CVP,
Thomas,de Courten ,SVP,
Denis,de la Reussille,PdA,PdA
Fathi,Derder,FDP-Liberale,
Marcel,Dettling,SVP,
Josef,Dittli,FDP-Liberale,
Marcel,Dobler,FDP-Liberale,
Roland,Eberle,SVP,
Joachim,Eder,FDP-Liberale,
Thomas,Egger,CSPO,
Hans,Egloff,SVP,
Corina,Eichenberger-Walther,FDP-Liberale,
Stefan,Engler,CVP,
Yvette,Estermann,SVP,
Erich,Ettlin,CVP,
Christoph,Eymann,LDP,
Daniel,Fässler,CVP,
Laurence,Fehlmann Rielle,SP,
Olivier,Feller,FDP-Liberale,
Yvonne,Feri,SP,
Anita,Fetz,SP,
Doris,Fiala,FDP-Liberale,
Beat,Flach,glp,
Sylvia,Flückiger-Bäni,SVP,
Kurt,Fluri,FDP-Liberale,
Peter,Föhn,SVP,
Jean-René,Fournier,CVP,
Olivier,Français,FDP-Liberale,
Sebastian,Frehner,SVP,
Pierre-Alain,Fridez,SP,
Claudia,Friedl,SP,
Chantal,Galladé,SP,
Andrea Martina,Geissbühler,SVP,
Benoît,Genecand,FDP-Liberale,
Hannes,Germann,SVP,
Ulrich,Giezendanner,SVP,
Bastien,Girod,GPS,
Ida,Glanzmann-Hunkeler,CVP,
Andreas,Glarner,SVP,
Balthasar,Glättli,GPS,
Alice,Glauser-Zufferey,SVP,
Alois,Gmür,CVP,
Andrea,Gmür-Schönenberger,CVP,
Roger,Golay,MCG,
Petra,Gössi,FDP-Liberale,
Konrad,Graber,CVP,
Maya,Graf,GPS,
Edith,Graf-Litscher,SP,
Jean-Pierre,Grin,SVP,
Jürg,Grossen,glp,
Hans,Grunder,BDP,
Franz,Grüter,SVP,
Jean-Paul,Gschwind,CVP,
Niklaus-Samuel,Gugger,EVP,
Bernhard,Guhl,BDP,
Diana,Gutjahr,SVP,
Barbara,Gysi,SP,
Brigitte,Häberli-Koller,CVP,
Philipp,Hadorn,SP,
Thomas,Hardegger,SP,
Christine,Häsler,GPS,
Markus,Hausammann,SVP,
Claude,Hêche,SP,
Alfred,Heer,SVP,
Thomas,Hefti,FDP-Liberale,
Peter,Hegglin,CVP,
Bea,Heim,SP,
Verena,Herzog,SVP,
Erich,Hess,SVP,
Lorenz,Hess,BDP,
Hugues,Hiltpold,FDP-Liberale,
Werner,Hösli,SVP,
Ruth,Humbel,CVP,
Thomas,Hurter,SVP,
Christian,Imark,SVP,
Claude,Janiak,SP,
Beat,Jans,SP,
Matthias Samuel,Jauslin,FDP-Liberale,
Daniel,Jositsch,SP,
Irène,Kälin,GPS,
Peter,Keller,SVP,
Barbara,Keller-Inhelder,SVP,
Karin,Keller-Sutter,FDP-Liberale,
Margret,Kiener Nellen,SP,
Hansjörg,Knecht,SVP,
Roger,Köppel,SVP,
Alex,Kuprecht,SVP,
Martin,Landolt,BDP,
Susanne,Leutenegger Oberholzer,SP,
Christian,Levrat,SP,
Christian,Lohr,CVP,
Filippo,Lombardi,CVP,
Werner,Luginbühl,BDP,
Christian,Lüscher,FDP-Liberale,
Jacques-André,Maire,SP,
Géraldine,Marchand-Balet,CVP,
Christa,Markwalder,FDP-Liberale,
Ada,Marra,SP,
Min,Li Marti,SP,
Magdalena,Martullo-Blocher,SVP,
Nadine,Masshardt,SP,
Thomas,Matter,SVP,
Liliane,Maury Pasquier,SP,
Lisa,Mazzone,GPS,
Giovanni,Merlini,FDP-Liberale,
Mattea,Meyer,SP,
Thomas,Minder,-,
Fabian,Molina,SP,
Isabelle,Moret,FDP-Liberale,
Tiana Angelina,Moser,glp,
Damian,Müller,FDP-Liberale,
Leo,Müller,CVP,
Philipp,Müller,FDP-Liberale,
Thomas,Müller,SVP,
Walter,Müller,FDP-Liberale,
Stefan,Müller-Altermatt,CVP,
Martina,Munz,SP,
Felix,Müri,SVP,
Martin,Naef,SP,
Philippe,Nantermod,FDP-Liberale,
Jacques,Nicolet,SVP,
Yves,Nidegger,SVP,
Roger,Nordmann,SP,
Ruedi,Noser,FDP-Liberale,
Eric,Nussbaumer,SP,
Nicolo,Paganini,CVP,
Pierre-André,Page,SVP,
Roberta,Pantani,Lega,
Corrado,Pardini,SP,
Bruno,Pezzatti,FDP-Liberale,
Gerhard,Pfister,CVP,
Nadja,Pieren,SVP,
Valérie,Piller Carrard,SP,
Hans-Peter,Portmann,FDP-Liberale,
Rosmarie,Quadranti,BDP,
Lorenzo,Quadri,Lega,
Paul,Rechsteiner,SP,
Fabio,Regazzi,CVP,
Lukas,Reimann,SVP,
Maximilian,Reimann,SVP,
Mathias,Reynard,SP,
Natalie,Rickli,SVP,
Beat,Rieder,CVP,
Kathy,Riklin,CVP,
Jean-François,Rime,SVP,
Markus,Ritter,CVP,
Benjamin,Roduit,CVP,
Marco,Romano,CVP,
Albert,Rösti,SVP,
Rebecca Ana,Ruiz,SP,
Franz,Ruppen,SVP,
Gregor,Rutz,SVP,
Regula,Rytz,GPS,
Werner,Salzmann,SVP,
Regine,Sauter,FDP-Liberale,
Géraldine,Savary,SP,
Silvia,Schenker,SP,
Peter,Schilliger,FDP-Liberale,
Martin,Schmid,FDP-Liberale,
Philipp,Kutter,CVP,
Daniela,Schneeberger,FDP-Liberale,
Ursula,Schneider Schüttel,SP,
Elisabeth,Schneider-Schneiter,CVP,
Pirmin,Schwander,SVP,
Priska,Seiler Graf,SP,
Silva,Semadeni,SP,
Anne,Seydoux-Christe,CVP,
Heinz,Siegenthaler,BDP,
Sandra,Sollberger,SVP,
Carlo,Sommaruga,SP,
Jürg,Stahl,SVP,
Luzi,Stamm,SVP,
Barbara,Steinemann,SVP,
Hans,Stöckli,SP,
Marianne,Streiff-Feller,EVP,
Adèle,Thorens Goumaz,GPS,
Michael,Töngi,GPS,
Manuel,Tornare,SP,
Alexander,Tschäppät,SP,
Mauro,Tuena,SVP,
Albert,Vitali,FDP-Liberale,
Karl,Vogler,csp-ow,
Hans-Ueli,Vogt,SVP,
Erich,von Siebenthal,SVP,
Beat,Vonlanthen,CVP,
Bruno,Walliser,SVP,
Beat,Walti,FDP-Liberale,
Christian,Wasserfallen,FDP-Liberale,
Laurent,Wehrli,FDP-Liberale,
Thomas,Weibel,glp,
Cédric,Wermuth,SP,
Hans,Wicki,FDP-Liberale,
Walter,Wobmann,SVP,
Claudio,Zanetti,SVP,
Roberto,Zanetti,SP,
David,Zuberbühler,SVP,